----------------------------------------
Begin PBS Prologue Tue Apr  4 16:17:26 EDT 2017 1491337046
Job ID:		86426087.gm-1r16-n04.guillimin.clumeq.ca
Username:	akashi
Group:		rck-371-01
Nodes:		sw-2r12-n60
End PBS Prologue Tue Apr  4 16:17:26 EDT 2017 1491337046
----------------------------------------
PHiPerSolver available.
Max OMP threads = 1
Preconditioner choice: f
Preconditioner: Number of sweeps = 2, 2
Domain boundaries in each dimension:
-1.000000 1.000000 -1.000000 1.000000 -1.000000 1.000000 
CartMesh: Number of points in each direction: 60 60 60 
CartMesh: Setting up DMDA
CartMesh: Total points = 216000, interior points = 195112, total number of partitions = 1
CartMesh: generateMesh_cheb: Generating grid
CartMesh: generateMesh_Cheb: h = 0.092216
ComputeRHS: Starting
ComputeRHS: Done
ComputeLHS: Setting values of the LHS matrix...
ComputeLHS: Done.
Using FGPILU as preconditioner.
compute_fgpilu_local(): First-time setup
compute_fgpilu_local: Factorizing. 2 build sweeps, chunk size is 1024 threads.
  0 KSP Residual norm 1.932681740716e+01 
  1 KSP Residual norm 1.598719688805e+01 
  2 KSP Residual norm 1.331209651856e+01 
  3 KSP Residual norm 1.114929911977e+01 
  4 KSP Residual norm 9.386443427358e+00 
  5 KSP Residual norm 7.939250067233e+00 
  6 KSP Residual norm 6.743611637093e+00 
  7 KSP Residual norm 5.750153079748e+00 
  8 KSP Residual norm 4.920422475358e+00 
  9 KSP Residual norm 4.224178854393e+00 
 10 KSP Residual norm 3.637430506140e+00 
 11 KSP Residual norm 3.140995053244e+00 
 12 KSP Residual norm 2.719428067476e+00 
 13 KSP Residual norm 2.360216022693e+00 
 14 KSP Residual norm 2.053161613911e+00 
 15 KSP Residual norm 1.789910956879e+00 
 16 KSP Residual norm 1.563586715079e+00 
 17 KSP Residual norm 1.368501181502e+00 
 18 KSP Residual norm 1.199930302632e+00 
 19 KSP Residual norm 1.053934558671e+00 
 20 KSP Residual norm 9.272161508180e-01 
 21 KSP Residual norm 8.170045187443e-01 
 22 KSP Residual norm 7.209641044741e-01 
 23 KSP Residual norm 6.371196869709e-01 
 24 KSP Residual norm 5.637956690181e-01 
 25 KSP Residual norm 4.995664986094e-01 
 26 KSP Residual norm 4.432160179397e-01 
 27 KSP Residual norm 3.937040023579e-01 
 28 KSP Residual norm 3.501385143811e-01 
 29 KSP Residual norm 3.117529798418e-01 
 30 KSP Residual norm 2.778871135850e-01 
 31 KSP Residual norm 2.479709951541e-01 
 32 KSP Residual norm 2.215117313914e-01 
 33 KSP Residual norm 1.980822510047e-01 
 34 KSP Residual norm 1.773118621644e-01 
 35 KSP Residual norm 1.588782728771e-01 
 36 KSP Residual norm 1.425008289357e-01 
 37 KSP Residual norm 1.279347685245e-01 
 38 KSP Residual norm 1.149663283044e-01 
 39 KSP Residual norm 1.034085647468e-01 
 40 KSP Residual norm 9.309777800373e-02 
 41 KSP Residual norm 8.389044477221e-02 
 42 KSP Residual norm 7.566058228201e-02 
 43 KSP Residual norm 6.829747839042e-02 
 44 KSP Residual norm 6.170373334058e-02 
 45 KSP Residual norm 5.579356746304e-02 
 46 KSP Residual norm 5.049135631902e-02 
 47 KSP Residual norm 4.573036077405e-02 
 48 KSP Residual norm 4.145162447724e-02 
 49 KSP Residual norm 3.760301538284e-02 
 50 KSP Residual norm 3.413839143527e-02 
