----------------------------------------
Begin PBS Prologue Tue Apr  4 17:04:05 EDT 2017 1491339845
Job ID:		86431635.gm-1r16-n04.guillimin.clumeq.ca
Username:	akashi
Group:		rck-371-01
Nodes:		sw-2r12-n60
End PBS Prologue Tue Apr  4 17:04:05 EDT 2017 1491339845
----------------------------------------
Max OMP threads = 4
Preconditioner choice: f
Preconditioner: Number of sweeps = 2, 2
Domain boundaries in each dimension:
-1.000000 1.000000 -1.000000 1.000000 -1.000000 1.000000 
CartMesh: Number of points in each direction: 60 60 60 
CartMesh: Setting up DMDA
CartMesh: Total points = 216000, interior points = 195112, total number of partitions = 1
CartMesh: generateMesh_cheb: Generating grid
CartMesh: generateMesh_Cheb: h = 0.092216
ComputeRHS: Starting
ComputeRHS: Done
ComputeLHS: Setting values of the LHS matrix...
ComputeLHS: Done.
Using FGPILU as preconditioner.
compute_fgpilu_local(): First-time setup
compute_fgpilu_local: Factorizing. 2 build sweeps, chunk size is 1024 threads.
  0 KSP Residual norm 1.932631418414e+01 
  1 KSP Residual norm 1.598712179560e+01 
  2 KSP Residual norm 1.331205220125e+01 
  3 KSP Residual norm 1.114923421566e+01 
  4 KSP Residual norm 9.386290809337e+00 
  5 KSP Residual norm 7.939295818285e+00 
  6 KSP Residual norm 6.743655232931e+00 
  7 KSP Residual norm 5.749947895903e+00 
  8 KSP Residual norm 4.920492698688e+00 
  9 KSP Residual norm 4.224273037537e+00 
 10 KSP Residual norm 3.637504755456e+00 
 11 KSP Residual norm 3.140631924719e+00 
 12 KSP Residual norm 2.719521065030e+00 
 13 KSP Residual norm 2.360335986959e+00 
 14 KSP Residual norm 2.053255421929e+00 
 15 KSP Residual norm 1.790055072140e+00 
 16 KSP Residual norm 1.563672070593e+00 
 17 KSP Residual norm 1.368591729983e+00 
 18 KSP Residual norm 1.199999509371e+00 
 19 KSP Residual norm 1.053948595130e+00 
 20 KSP Residual norm 9.272808241603e-01 
 21 KSP Residual norm 8.170669432157e-01 
 22 KSP Residual norm 7.210192046573e-01 
 23 KSP Residual norm 6.371687869997e-01 
 24 KSP Residual norm 5.638415833717e-01 
 25 KSP Residual norm 4.996080128144e-01 
 26 KSP Residual norm 4.432546684204e-01 
 27 KSP Residual norm 3.937390276599e-01 
 28 KSP Residual norm 3.501109286096e-01 
 29 KSP Residual norm 3.118125435739e-01 
 30 KSP Residual norm 2.779221991317e-01 
 31 KSP Residual norm 2.480012743561e-01 
 32 KSP Residual norm 2.215383813169e-01 
 33 KSP Residual norm 1.980784098691e-01 
 34 KSP Residual norm 1.773363687743e-01 
 35 KSP Residual norm 1.589031719592e-01 
 36 KSP Residual norm 1.425204269816e-01 
 37 KSP Residual norm 1.279524778093e-01 
 38 KSP Residual norm 1.149826818481e-01 
 39 KSP Residual norm 1.034232230569e-01 
 40 KSP Residual norm 9.310623500469e-02 
 41 KSP Residual norm 8.390312210838e-02 
 42 KSP Residual norm 7.567216874107e-02 
 43 KSP Residual norm 6.830795965421e-02 
 44 KSP Residual norm 6.171334011136e-02 
 45 KSP Residual norm 5.580221508219e-02 
 46 KSP Residual norm 5.049652179697e-02 
 47 KSP Residual norm 4.573787875623e-02 
 48 KSP Residual norm 4.145847439124e-02 
 49 KSP Residual norm 3.760914619433e-02 
 50 KSP Residual norm 3.414398277628e-02 
 51 KSP Residual norm 3.102207111707e-02 
